Date,Open,High,Low,Close,Adj Close,Volume,year,month,MA,MIDPRICE,dollar_vol,dollar_vol_1m,upperband,middleband,lowerband,RSI,MACD,ATR
2000-02-18,138.875,138.875,134.625,135.3125,89.08085632324219,9409200,2000,2,142.04947916666666,139.59375,1273182375.0,1089853953.1770833,142.43063137964532,138.634375,134.8381186203547,37.603617518692026,-1.660413246914345,2.96709066696683
2000-02-22,135.1875,136.34375,133.53125,134.96875,88.85453033447266,16415400,2000,2,141.69010416666666,139.046875,2215566018.75,1124516407.96875,142.34076049936388,137.728125,133.11548950063613,37.07419471947399,-1.8875607682483917,2.956048476469199
2000-02-23,135.625,137.46875,134.5,136.5625,89.90375518798828,12119000,2000,2,141.3671875,139.046875,1655000937.5,1151692318.3854167,140.0066367643094,136.825,133.64336323569057,41.20714106155114,-1.9168779343278004,2.9569557281499708
2000-02-24,136.6875,137.03125,133.09375,133.8125,88.09333038330078,17375000,2000,2,141.0109375,138.828125,2324992187.5,1193049236.3020833,138.83591147157063,135.7875,132.73908852842936,36.72495908532479,-2.1373756805800213,3.026994604710687
2000-02-25,135.1875,136.71875,133.125,133.328125,87.77447509765625,10559900,2000,2,140.68645833333332,138.828125,1407931667.1875,1207039197.5,137.0840676022959,134.796875,132.5096823977041,35.982551056056494,-2.324412368605749,3.067477132945638
2000-02-28,133.375,136.6875,132.71875,136.125,89.61573028564453,13397800,2000,2,140.390625,138.640625,1823775525.0,1242899931.6666667,137.47414387606068,134.959375,132.4446061239393,43.13130899627414,-2.2213495188412367,3.1318537663066635
2000-02-29,136.0625,137.4375,135.75,137.4375,90.47982025146484,8242500,2000,2,140.07291666666666,138.59375,1132828593.75,1244225861.9791667,138.65651675718487,135.453125,132.24973324281513,46.16921200379924,-2.010586892742623,3.0286856401419016
2000-03-01,137.625,139.0,137.21875,138.4375,91.13812255859375,6868000,2000,3,139.82708333333332,137.640625,950788750.0,1244382006.7708333,139.80805511873325,135.828125,131.84819488126675,48.42961770582984,-1.742774728218194,2.93958309441748
2000-03-02,138.6875,139.125,137.34375,138.53125,91.19989013671875,7600200,2000,3,139.54479166666667,137.328125,1052865206.25,1249303803.6458333,140.6283630396563,136.771875,132.91538696034368,48.64732585251877,-1.5056110696509677,2.856845016244803
2000-03-03,140.4375,141.71875,139.71875,141.125,92.90742492675781,12770300,2000,3,139.42395833333333,137.21875,1802208587.5,1281391940.7291667,141.62034181993917,138.33125,135.04215818006085,54.38485506803917,-1.0957322936264973,2.8804632293701746
2000-03-06,140.8125,141.34375,138.75,139.75,92.00218200683594,11967100,2000,3,139.26770833333333,137.21875,1672402225.0,1307072571.5625,141.59236415358117,139.05625,136.52013584641884,51.123898056836815,-0.8718018304320765,2.859983712986591
2000-03-07,140.0,140.15625,135.21875,137.046875,90.22261810302734,20062000,2000,3,139.1578125,137.21875,2749434406.25,1361777699.7916667,141.72425864569075,138.978125,136.23199135430926,45.36503839592677,-0.9020565748759566,3.0083777334875488
2000-03-08,136.46875,137.84375,135.03125,136.875,90.10952758789062,11808500,2000,3,138.9890625,137.21875,1616288437.5,1368613527.9166667,141.89909256594137,138.665625,135.43215743405864,45.01779974091885,-0.9291914136866808,2.9943864668098668
2000-03-09,137.25,140.875,136.125,140.875,92.74283599853516,5500900,2000,3,138.99114583333332,137.21875,774939287.5,1370234005.625,142.80412039307495,139.134375,135.46462960692506,53.86779365444342,-0.6207735077556435,3.1197874334663047
2000-03-10,140.1875,142.0,139.53125,140.125,92.24908447265625,7924600,2000,3,138.98697916666666,137.359375,1110434575.0,1356184868.9583333,142.23922465619097,138.934375,135.629525343809,52.17210856443973,-0.43189026512871465,3.073284759647283
2000-03-13,136.6875,140.46875,135.6875,138.59375,91.24099731445312,10540500,2000,3,139.07760416666667,137.359375,1460847421.875,1350909327.1875,141.90761403883332,138.703125,135.49863596116668,48.794884831096155,-0.4011339893938839,3.195282276815334
